,name,description
0,Annotate with data paths,Annotates data with project-related paths
1,Annotate data with image properties,Adds data annotations generated from an image to any data.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
2,Annotate data with table values,Annotates the incoming data with values from the input table<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
3,Filter by annotation (If else),"Filters data based on the annotation value. Has two outputs, one that contains the data that matches the filter, and another output that contains all data that does not match the filter"
4,Filter by annotation,Filters data based on the annotation value.
5,Remove annotation,Removes annotations by name or value
6,Set annotation (expression),Sets a single annotation. The name and the value are determined by expressions
7,Set/Edit annotations,Modifies the specified annotations to the specified values. Supports expressions to combine existing annotations or generate new values.
8,Split & filter by annotation (Script),"Executes a Python-script for each annotation row that allows redirection to a specified output slot (or to remove it). All annotations are passed as dictionary 'annotations' that can be modified using Python functions. The values are then extracted and converted into their respective JIPipe types. The target slot is extracted from a variable 'output_slot' that should be present within the script. If the variable is set to null or empty, the data is discarded."
9,Split & filter by annotation,Splits the input data by a specified annotation or filters data based on the annotation value.
10,Annotate by annotation table,Merges matching annotations from an annotation table into the data set. Note: Please use 'Annotate with table values' if you intend to copy information from a table into the annotation set of a data.
11,Annotate file with OME metadata,Annotates each file with information obtained from Bio-Formats without importing the file itself
12,Annotate with data string,Converts incoming data into its string representation and creates the a new annotation that contains this generated string.
13,Annotate with data,Annotates the incoming data with the other data.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
14,Annotate with path properties,Annotates files or directories with their properties
15,Annotate with source slot,"Annotates the data with the name or custom label of the source slot. Please note that this node cannot resolve multiple input slots, as, for optimization purposes, the information where data is coming from is deleted."
16,Merge annotations,Merges the annotations of all incoming data and outputs the same data with those merged annotations.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
17,Import annotation table,
18,Annotation table to paths,"Converts an annotation table to path data. If available, annotation are added to the output."
19,Annotation to path,"Converts an annotation of to a path. If the specified annotation is not present, an empty path is generated."
20,Annotations to parameters,Converts annotations into parameter data.
21,Boolean input form,Creates a boolean input form (a checkbox). <br/><br/>A new form element is added to the list of existing form elements and stored into the combined list. The input slot requires no incoming edge.
22,Cellpose prediction (2.x),"Deprecated. Use the node with the same name.<br/><br/>Runs Cellpose on the input image. This node supports both segmentation in 3D and executing Cellpose for each 2D image plane. This node can generate a multitude of outputs, although only ROI is activated by default. Go to the 'Outputs' parameter section to enable the other outputs.<ul><li><b>Labels:</b> A grayscale image where each connected component is assigned a unique value.</li><li><b>Flows XY:</b> An RGB image that indicates the x and y flow of each pixel</li><li><b>Flows Z:</b> Flows in Z direction (black for non-3D images)</li><li><b>Flows d:</b> Multi-channel image that contains the flows [dZ, dY, dX, cell probability] (3D images) / [dY, dX, cell probability] (2D images)</li><li><b>Probabilities:</b> An image indicating the cell probabilities for each pixel</li><li><b>ROI:</b> ROI of the segmented areas.</li></ul>Please note that you need to setup a valid Python environment with Cellpose installed. You can find the setting in Project &gt; Application settings &gt; Extensions &gt; Cellpose.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
23,Cellpose image restoration (3.x),"Runs Cellpose restoration on the input image with the given model(s). Cellpose provides algorithms for denoising (similar to noise2void), deblurring, and upsampling. This node supports operations in 3D and executing Cellpose for each 2D image plane. Please note that you need to setup a valid Python environment with Cellpose installed. You can find the setting in Project &gt; Application settings &gt; Extensions &gt; Cellpose.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
24,Cellpose image restoration training (3.x),"Trains an image restoration (denoising) model with Cellpose. You start from an existing model or train from scratch. Incoming images are automatically converted to greyscale. Only 2D or 3D images are supported. For this node to work, you need to annotate a greyscale 16-bit or 8-bit label image column to each raw data input. To do this, you can use the node 'Annotate with data'. By default, JIPipe will ensure that all connected components of this image are assigned a unique component. You can disable this feature via the parameters. Does not support the training of image restoration models.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
25,Cellpose segmentation (2.x),"Runs Cellpose on the input image with the given model(s). This node supports both segmentation in 3D and executing Cellpose for each 2D image plane. This node can generate a multitude of outputs, although only ROI is activated by default. Go to the 'Outputs' parameter section to enable the other outputs.<ul><li><b>Labels:</b> A grayscale image where each connected component is assigned a unique value.</li><li><b>Flows XY:</b> An RGB image that indicates the x and y flow of each pixel</li><li><b>Flows Z:</b> Flows in Z direction (black for non-3D images)</li><li><b>Flows d:</b> Multi-channel image that contains the flows [dZ, dY, dX, cell probability] (3D images) / [dY, dX, cell probability] (2D images)</li><li><b>Probabilities:</b> An image indicating the cell probabilities for each pixel</li><li><b>ROI:</b> ROI of the segmented areas.</li></ul>Please note that you need to setup a valid Python environment with Cellpose installed. You can find the setting in Project &gt; Application settings &gt; Extensions &gt; Cellpose.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
26,Cellpose segmentation (3.x),"Runs Cellpose on the input image with the given model(s). This node supports both segmentation in 3D and executing Cellpose for each 2D image plane. This node can generate a multitude of outputs, although only ROI is activated by default. Go to the 'Outputs' parameter section to enable the other outputs.<ul><li><b>Labels:</b> A grayscale image where each connected component is assigned a unique value.</li><li><b>Flows XY:</b> An RGB image that indicates the x and y flow of each pixel</li><li><b>Flows Z:</b> Flows in Z direction (black for non-3D images)</li><li><b>Flows d:</b> Multi-channel image that contains the flows [dZ, dY, dX, cell probability] (3D images) / [dY, dX, cell probability] (2D images)</li><li><b>Probabilities:</b> An image indicating the cell probabilities for each pixel</li><li><b>ROI:</b> ROI of the segmented areas.</li></ul>Please note that you need to setup a valid Python environment with Cellpose installed. You can find the setting in Project &gt; Application settings &gt; Extensions &gt; Cellpose.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
27,Cellpose segmentation training (3.x),"Trains a segmentation model with Cellpose. You start from an existing model or train from scratch. Incoming images are automatically converted to greyscale. Only 2D or 3D images are supported. For this node to work, you need to annotate a greyscale 16-bit or 8-bit label image column to each raw data input. To do this, you can use the node 'Annotate with data'. By default, JIPipe will ensure that all connected components of this image are assigned a unique component. You can disable this feature via the parameters. Does not support the training of image restoration models.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
